plot_id,pH,tot_N,org_C,sand
47ce0595-cb7f-4439-ac98-a4f710346ed7-22B-A,5.00,,,
d6d8a4c2-21e6-44ed-b17f-a2f0758f7ea8-22B-A,5.24,,,
0eff01c0-d655-48e7-b269-e6b55e206b67-22B-A,5.81,,,
d43b685e-8409-4322-9d39-5879e2c0e98f-22B-A,5.24,,,
735b24a6-0481-435d-8511-d0259a779def-22B-A,5.34,,,
5a197787-54a4-4090-bf74-7d9be15d57a2-22B-A,4.68,,,
bd214e6c-6026-467f-b190-b3a1c6a8fdd6-22B-A,5.10,,,
105c2fc6-bb0d-49fa-ad18-0fa9f9b157e7-22A-A,5.97,,,
67764487-2cb6-4bf4-a205-777fff2f277a-22A-A,5.82,,,
6fe53429-9dca-4e83-914e-db52e92d6485-22A-A,5.34,,,
bcbcbcaa-6e6c-40c9-b411-75d70465e4fc-22A-A,5.95,,,
37573f19-3f9f-4125-af13-f9264ebba27c-22A-A,5.77,,,
541aff9a-15dc-4e24-9fe5-f15966cd6bb1-22A-A,6.40,,,
e4910403-e13f-4781-a5a5-525af6e6745f-22A-A,6.38,,,
f0a481a3-ede3-4cab-bcec-5f4061a60677-22A-A,6.38,,,
04c3601b-be42-4bff-942c-bbab94f9e1da-22A-A,6.38,,,
4911c8f3-c203-4b26-a506-4ad38a82d0ed-22A-A,6.42,,,
a1760bd8-e3ec-45c8-b028-3a5d0b9c22dd-22A-A,6.40,,,
516aea7d-9a4f-4a9d-a173-20fe98fe8fe3-22A-A,6.46,,,
8986590e-f055-4e33-b03f-129cbd993c73-22A-A,6.36,,,
f4f75a25-af6d-4c3a-8b29-b6233760557c-22A-A,6.44,,,
1a050098-a662-4110-a924-60ce62f9d1d0-22A-A,6.48,,,
48d55376-3ae6-4ed8-9c27-29c5b56ad8fd-22A-A,5.72,,,
b7844f39-62fa-4a98-8f18-810e7f056e26-22A-A,5.69,,,
d98706c8-d660-4897-937c-27398258daa3-22A-A,5.57,,,
171e6599-ed7f-44a0-b531-06299ffd2ff7-22A-A,5.68,,,
dcebfbd7-0982-4a0f-8e94-ebd11c2bf1a4-22B-A,5.95,,,
871162a3-e357-4ef0-8f72-7d4ecc104800-22B-A,5.86,,,
fe36931b-2707-4cdf-8ce9-381301cb1deb-22B-A,6.17,,,
8dd1c68f-5fd0-4e43-8fa2-2e71ea3f4bde-22B-A,6.37,,,
09af63c9-2ce1-4ed7-be5b-1d5e85e7be55-22B-A,6.31,,,
1c1da627-3c18-4b38-aa21-3f58fe04b008-22B-A,6.00,,,
bf3c8b6a-8e80-4c74-a42a-8a683a4781e0-22B-A,6.28,,,
ea9c2b5c-6d30-4915-b913-492fed758811-22B-A,6.32,,,
9c8052e3-cfd4-4ed4-9c30-ab77e29b7f40-22B-A,6.20,,,
905956f4-da57-4079-8858-d682bdeb6978-22B-A,6.39,,,
da38289e-118a-42f5-8a9f-1f26c942d183-22B-A,6.39,,,
ad759faf-824b-4788-8585-63f808f513e0-22B-A,6.16,,,
45075a0a-e021-498d-8e57-c23955364ea3-22B-A,6.14,,,
c36ed18c-37fc-429b-9e54-0ed7e2d58f81-22B-A,6.24,,,
6873a306-44b8-430c-aeda-a411398c9452-22B-A,6.22,,,
66e0a8ac-e923-42d9-ac9e-76ba74a65c4d-22B-A,6.80,,,
17fd266f-0573-469f-809c-774007ebb3c8-22B-A,6.36,,,
ba494986-259a-4f4a-b8dc-2dcc31aff3ca-22B-A,6.74,,,
8fca63cd-6577-426d-bd68-0599eb1e67fb-22B-A,6.62,,,
2794b81a-2352-44c6-97ca-c208c6d988d5-22B-A,6.49,,,
49dc4c5b-cbe5-4489-8e7f-3adbefe73611-22B-A,6.49,,,
605f3a31-1a33-4c4c-9cd9-a0966c37ae60-22B-A,6.46,,,
5db4b3aa-11cc-491b-ac4f-fd32da261814-22B-A,6.38,,,
6f0babf5-5b5d-44d2-8fe8-ff5e86783519-22B-A,6.37,,,
eda53b61-6f9a-4e6b-bf68-9339204730be-21A-A,4.83,,,
b49863fe-d4ec-46e1-b3dc-ba03621d25a2-21A-A,5.08,,,
233e0559-2e56-48ae-8f2f-33817175c849-21A-A,5.23,,,
c2b3f4bf-6565-48b1-bc32-0e8b1d44d547-21A-A,5.12,,,
2cca6b08-9fa5-4e10-9287-9f96aeb84ae8-21A-A,5.15,,,
8f7e9a53-b373-48ce-a1c0-2c1afb99d3f0-21A-A,5.12,,,
8e77352d-aa29-4b5e-9bf4-d5093db23a3e-21A-A,5.10,,,
5b270277-f7cb-4d44-9c8b-e1d57ce357b5-21A-A,4.97,,,
2dd3a27e-bf8d-40cd-bf4f-8f25cb0a9807-21A-A,5.39,,,
497c8282-834f-4af9-ac81-6d4de1022f21-21A-A,5.04,,,
59a3928f15524200b3479d8ce3294604-22A-A,5.01,,,
59a3928f15524200b3479d8ce3294604-22A-B,4.89,,,
59a3928f15524200b3479d8ce3294604-22A-C,5.24,,,
59a3928f15524200b3479d8ce3294604-22A-D,4.96,,,
774787ce6cfc46cbbf488a4360a78960-22A-A,5.10,,,
774787ce6cfc46cbbf488a4360a78960-22A-B,5.26,,,
774787ce6cfc46cbbf488a4360a78960-22A-C,5.19,,,
774787ce6cfc46cbbf488a4360a78960-22A-D,5.17,,,
bff86b9a8ad4450686ade056e072469f-22A-A,5.13,,,
bff86b9a8ad4450686ade056e072469f-22A-B,5.17,,,
bff86b9a8ad4450686ade056e072469f-22A-C,5.06,,,
bff86b9a8ad4450686ade056e072469f-22A-D,5.08,,,
82287687f1fb42c3934d9eaa468f65d3-22A-A,4.99,,,
82287687f1fb42c3934d9eaa468f65d3-22A-B,5.17,,,
82287687f1fb42c3934d9eaa468f65d3-22A-C,5.06,,,
82287687f1fb42c3934d9eaa468f65d3-22A-D,5.08,,,
ed2dfbe4149d4f63a017fddcd5fb8fdb-22A-A,4.91,,,
ed2dfbe4149d4f63a017fddcd5fb8fdb-22A-B,5.05,,,
ed2dfbe4149d4f63a017fddcd5fb8fdb-22A-C,5.14,,,
ed2dfbe4149d4f63a017fddcd5fb8fdb-22A-D,5.15,,,
43110f76183441dfa3f1e73884a3e649-22A-A,4.96,,,
43110f76183441dfa3f1e73884a3e649-22A-B,5.15,,,
43110f76183441dfa3f1e73884a3e649-22A-C,5.24,,,
43110f76183441dfa3f1e73884a3e649-22A-D,5.26,,,
